"RSVCODE","RUIT_COORD","dominantSpecies","topThreeSpecies","forestType"
10,"B02","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
10,"B05",NA,"","NA"
10,"B07","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
10,"B09","Pinus sylvestris","Quercus petraea, Betula pendula, Pinus sylvestris","Mixed"
10,"C01","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
10,"C03","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pinus","Mixed"
10,"C05","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
10,"C07","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
10,"C09",NA,"","NA"
10,"C11","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
10,"D02","Betula pendula","Betula pendula, Frangula alnus, Pinus sylvestris","Mixed"
10,"D07","Pinus sylvestris","Pinus sylvestris, Pinus","Coniferous"
10,"D09","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
10,"D11",NA,"","NA"
10,"E01","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
10,"E04","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
10,"E05","Pinus sylvestris","Betula pendula, Frangula alnus, Pinus sylvestris","Mixed"
10,"E07",NA,"","NA"
10,"E09",NA,"","NA"
10,"E11","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
10,"F07",NA,"","NA"
10,"F09","Pinus sylvestris","Pinus sylvestris, Pseudotsuga menziesii","Coniferous"
10,"F11","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
10,"G01","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
10,"G02","No dominant species","Betula pendula, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
10,"G04","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
10,"G05","Pinus sylvestris","Betula pendula, Frangula alnus, Pinus sylvestris","Mixed"
10,"G07","Pinus sylvestris","Pinus sylvestris, Pseudotsuga menziesii","Coniferous"
10,"G09",NA,"","NA"
10,"G11",NA,"","NA"
10,"H07","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
10,"H09",NA,"","NA"
10,"J01","Betula pendula","Betula pendula, Pinus sylvestris, Pinus nigra","Mixed"
10,"J02","Betula pendula","Betula pendula, Pinus sylvestris","Mixed"
10,"J03",NA,"","NA"
10,"J04","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
10,"J05","Pinus sylvestris","Pinus sylvestris, Pseudotsuga menziesii","Coniferous"
10,"J07",NA,"","NA"
10,"J09","Pinus sylvestris","Pinus sylvestris, Pseudotsuga menziesii","Coniferous"
10,"J11",NA,"","NA"
10,"L01","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
10,"L02",NA,"","NA"
10,"L03","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
10,"L04",NA,"","NA"
10,"L05","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
10,"L07","Pinus sylvestris","Betula pendula, Frangula alnus, Pinus sylvestris","Mixed"
10,"L09",NA,"","NA"
10,"L10","Pinus sylvestris","Pinus sylvestris, Prunus serotina","Mixed"
10,"L11",NA,"","NA"
10,"N02","Pinus sylvestris","Betula pendula, Betula pubescens, Pinus sylvestris","Mixed"
10,"N03","Pinus sylvestris","Betula pendula, Pinus sylvestris, Pseudotsuga menziesii","Mixed"
10,"N04","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
10,"N05",NA,"","NA"
10,"N07","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
10,"N08","Pinus sylvestris","Pinus sylvestris, Prunus serotina","Mixed"
10,"N09",NA,"","NA"
10,"N10","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
10,"N11",NA,"","NA"
10,"O05",NA,"","NA"
10,"P03","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
10,"P05",NA,"","NA"
10,"P07","Pinus sylvestris","Quercus robur, Betula pendula, Pinus sylvestris","Mixed"
10,"P08","No dominant species","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
10,"P09","Pinus sylvestris","Betula pendula, Pinus sylvestris","Mixed"
10,"P10","Pinus sylvestris","Quercus robur, Pinus sylvestris","Mixed"
10,"P11",NA,"","NA"
10,"R09","Fagus sylvatica","Fagus sylvatica, Betula pendula, Pinus sylvestris","Mixed"
10,"R10","Fagus sylvatica","Fagus sylvatica, Pinus sylvestris","Mixed"
10,"R11","Pinus sylvestris","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
10,"S12","No dominant species","Fagus sylvatica, Quercus robur, Pinus sylvestris","Mixed"
