"RSVCODE","RUIT_COORD","frequentSpecies","topThreeSpecies","forestType"
26,"D05",NA,"","NA"
26,"D07","Salix alba","Salix alba, Sambucus nigra","Deciduous"
26,"D09",NA,"","NA"
26,"F05","Salix alba","Alnus glutinosa, Salix alba, Sambucus nigra","Deciduous"
26,"M11",NA,"","NA"
26,"M13",NA,"","NA"
26,"M15",NA,"","NA"
26,"P11",NA,"","NA"
26,"P13",NA,"","NA"
26,"P15",NA,"","NA"
26,"P17",NA,"","NA"
26,"R13",NA,"","NA"
26,"R15",NA,"","NA"
26,"T15",NA,"","NA"
26,"B03",NA,"","NA"
26,"B05",NA,"","NA"
26,"C05",NA,"","NA"
26,"C07","Salix alba","Salix alba, Sambucus nigra","Deciduous"
26,"D03",NA,"","NA"
26,"E05",NA,"","NA"
26,"E07",NA,"","NA"
26,"F07",NA,"","NA"
26,"F09",NA,"","NA"
26,"G08",NA,"","NA"
26,"G10",NA,"","NA"
26,"H07",NA,"","NA"
26,"H09","Salix alba","Salix alba, Sambucus nigra","Deciduous"
26,"H11",NA,"","NA"
26,"J11","Salix alba","Alnus glutinosa, Salix alba, Sambucus nigra","Deciduous"
26,"J13",NA,"","NA"
26,"K09",NA,"","NA"
26,"K13","Salix alba","Salix alba, Sambucus nigra","Deciduous"
26,"K15","Salix alba","Alnus glutinosa, Populus nigra, Salix alba","Deciduous"
26,"L09",NA,"","NA"
26,"L14",NA,"","NA"
26,"M09",NA,"","NA"
26,"N10","Salix alba","Salix alba, Sambucus nigra","Deciduous"
26,"N16","Salix alba","Salix alba, Sambucus nigra","Deciduous"
26,"Q14",NA,"","NA"
26,"Q16",NA,"","NA"
26,"S14",NA,"","NA"
26,"S16",NA,"","NA"
26,"T14",NA,"","NA"
26,"U15",NA,"","NA"
